date_out,destination,price
2016-04-01,FRA,381
2016-04-08,FRA,315
2016-04-15,FRA,230
2016-04-22,FRA,238
2016-04-29,FRA,254
2016-05-06,FRA,235
2016-05-13,FRA,261
2016-05-20,FRA,238
2016-05-27,FRA,308
2016-06-03,FRA,262
2016-06-10,FRA,264
2016-06-17,FRA,254
2016-06-24,FRA,245
2016-07-01,FRA,264
2016-07-08,FRA,272
2016-07-15,FRA,264
2016-07-22,FRA,285
2016-07-29,FRA,295
2016-08-05,FRA,310
2016-08-12,FRA,292
2016-04-01,DUS,378
2016-04-08,DUS,369
2016-04-15,DUS,260
2016-04-22,DUS,254
2016-04-29,DUS,269
2016-05-06,DUS,248
2016-05-13,DUS,247
2016-05-20,DUS,260
2016-05-27,DUS,261
2016-06-03,DUS,272
2016-07-29,DUS,245
2016-08-05,DUS,250
2016-08-12,DUS,266
2016-04-01,MUC,340
2016-04-08,MUC,317
2016-04-15,MUC,300
2016-04-22,MUC,259
2016-04-29,MUC,279
2016-05-06,MUC,262
2016-05-13,MUC,282
2016-05-20,MUC,319
2016-05-27,MUC,355
2016-06-03,MUC,303
2016-06-10,MUC,275
2016-06-17,MUC,243
2016-06-24,MUC,297
2016-07-01,MUC,279
2016-07-08,MUC,268
2016-07-15,MUC,265
2016-07-22,MUC,287
2016-07-29,MUC,342
2016-08-05,MUC,333
2016-08-12,MUC,293
2016-04-01,STR,369
2016-04-08,STR,293
2016-04-15,STR,314
2016-04-22,STR,281
2016-04-29,STR,280
2016-05-06,STR,298
2016-05-13,STR,339
2016-05-20,STR,293
2016-05-27,STR,359
2016-06-03,STR,276
2016-06-10,STR,293
2016-06-17,STR,268
2016-06-24,STR,268
2016-07-01,STR,281
2016-07-08,STR,276
2016-07-15,STR,268
2016-07-22,STR,281
2016-07-29,STR,237
2016-08-05,STR,255
2016-08-12,STR,268
2016-04-01,HAJ,555
2016-04-08,HAJ,259
2016-04-15,HAJ,259
2016-04-22,HAJ,258
2016-04-29,HAJ,246
2016-05-06,HAJ,239
2016-05-13,HAJ,222
2016-05-20,HAJ,269
2016-05-27,HAJ,246
2016-06-03,HAJ,266
2016-06-10,HAJ,222
2016-06-17,HAJ,222
2016-06-24,HAJ,253
2016-07-01,HAJ,244
2016-07-08,HAJ,229
2016-07-15,HAJ,222
2016-07-22,HAJ,246
2016-07-29,HAJ,222
2016-08-05,HAJ,222
2016-08-12,HAJ,222
2016-04-01,HEL,368
2016-04-08,HEL,336
2016-04-15,HEL,350
2016-04-22,HEL,313
2016-04-29,HEL,345
2016-05-06,HEL,336
2016-05-13,HEL,298
2016-05-20,HEL,293
2016-05-27,HEL,315
2016-06-03,HEL,322
2016-06-10,HEL,335
2016-06-17,HEL,322
2016-06-24,HEL,314
2016-07-01,HEL,354
2016-07-08,HEL,325
2016-07-15,HEL,325
2016-07-22,HEL,341
2016-07-29,HEL,332
2016-08-05,HEL,330
2016-08-12,HEL,323
2016-04-01,MAN,242
2016-04-08,MAN,228
2016-04-15,MAN,244
2016-04-22,MAN,211
2016-04-29,MAN,222
2016-05-06,MAN,204
2016-05-13,MAN,209
2016-05-20,MAN,209
2016-05-27,MAN,209
2016-06-03,MAN,228
2016-06-10,MAN,224
2016-06-17,MAN,209
2016-06-24,MAN,204
2016-07-01,MAN,208
2016-07-08,MAN,210
2016-07-15,MAN,208
2016-07-22,MAN,214
2016-07-29,MAN,204
2016-08-05,MAN,204
2016-08-12,MAN,213
2016-04-01,NCL,272
2016-04-08,NCL,301
2016-04-15,NCL,283
2016-04-22,NCL,309
2016-04-29,NCL,243
2016-05-06,NCL,261
2016-05-13,NCL,233
2016-05-20,NCL,224
2016-05-27,NCL,221
2016-06-03,NCL,271
2016-06-10,NCL,250
2016-06-17,NCL,243
2016-06-24,NCL,243
2016-07-01,NCL,231
2016-07-08,NCL,240
2016-07-15,NCL,262
2016-07-22,NCL,240
2016-07-29,NCL,252
2016-08-05,NCL,252
2016-08-12,NCL,230
2016-04-01,ABZ,394
2016-04-08,ABZ,372
2016-04-15,ABZ,328
2016-04-22,ABZ,316
2016-04-29,ABZ,328
2016-05-06,ABZ,305
2016-05-13,ABZ,305
2016-05-20,ABZ,305
2016-05-27,ABZ,282
2016-06-03,ABZ,323
2016-06-10,ABZ,271
2016-06-17,ABZ,305
2016-06-24,ABZ,271
2016-07-01,ABZ,383
2016-07-08,ABZ,345
2016-07-15,ABZ,342
2016-07-22,ABZ,345
2016-07-29,ABZ,308
2016-08-05,ABZ,271
2016-08-12,ABZ,294
2016-04-01,EDI,288
2016-04-08,EDI,294
2016-04-15,EDI,263
2016-04-22,EDI,286
2016-04-29,EDI,243
2016-05-06,EDI,276
2016-05-13,EDI,292
2016-05-20,EDI,260
2016-05-27,EDI,283
2016-06-03,EDI,263
2016-06-10,EDI,279
2016-06-17,EDI,281
2016-06-24,EDI,289
2016-07-01,EDI,273
2016-07-08,EDI,281
2016-07-15,EDI,265
